direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
466,2.546958702363239e-16,1.0,2.5469587023632387e-16
467,2.5090749383649946e-16,1.0,2.509074938364994e-16
468,2.50409604360323e-16,1.0,2.5040960436032293e-16
469,2.4525619256573747e-16,1.0,2.452561925657374e-16
470,2.449634102363966e-16,1.0,2.4496341023639654e-16
471,2.3101698443329983e-16,1.0,2.310169844332998e-16
472,2.2565805486539214e-16,1.0,2.256580548653921e-16
473,2.236490348441414e-16,1.0,2.2364903484414137e-16
474,2.1793228543522832e-16,1.0,2.1793228543522827e-16
475,1.9494706895977776e-16,1.0,1.9494706895977772e-16
476,1.862180288767895e-16,1.0,1.8621802887678945e-16
